# chillio, By Drew Achtermann, https://open.spotify.com/playlist/6rpEQ3tDoaO4WwiakDg439
title,album,artist,id,url
Lines,Lines,Melosense,0xXKBial2Oc7HnRoAqOzT8,https://open.spotify.com/track/0xXKBial2Oc7HnRoAqOzT8
Arps Of Revolución,Reflective (Part 1),Bassnectar,6j943OaUx84yACnpMurHQf,https://open.spotify.com/track/6j943OaUx84yACnpMurHQf
All You Need to See (Clever Intro),All You Need to See,Matt Lange,0XSiiBEmjVCCQ4SeA5Afq6,https://open.spotify.com/track/0XSiiBEmjVCCQ4SeA5Afq6
Moons,Moons,Embee,4t4uk0wS8mvGwuAsGW9TB8,https://open.spotify.com/track/4t4uk0wS8mvGwuAsGW9TB8
Trippin,Trippin,Conro,7ctwZqOpwIZT5HjCUyMJ2Q,https://open.spotify.com/track/7ctwZqOpwIZT5HjCUyMJ2Q
Neck And Neck - DNMO Remix,Northern Lights (Remixes),"Zeds Dead, Dragonette, DNMO",2bCjaF7cRm53Wdq9RtkYJu,https://open.spotify.com/track/2bCjaF7cRm53Wdq9RtkYJu
Running Away,Running Away,"Taska Black, DROELOE, CUT_",5HbTUbKSPeNh75aKSW66OF,https://open.spotify.com/track/5HbTUbKSPeNh75aKSW66OF
Next to Me - Grum Remix,Next To Me (Remixes),"Otto Knows, Grum",3l6oXGmL7MRZN5tLV44LPl,https://open.spotify.com/track/3l6oXGmL7MRZN5tLV44LPl
where r u,where r u,Kill Paris,6OiOs0sxOk3vxuEjFBwAhn,https://open.spotify.com/track/6OiOs0sxOk3vxuEjFBwAhn
Eyes In The Back Of My Head,Gouldian Finch #02,Eastghost,41jVjW7NOXeisFGzYxvnj5,https://open.spotify.com/track/41jVjW7NOXeisFGzYxvnj5
Dialed In,Whois,notsure,60cOXWQX9OeV4MwWWswQZ2,https://open.spotify.com/track/60cOXWQX9OeV4MwWWswQZ2
Pathless Is The Way,Ophelia Volume 1,Seven Lions,3ogM7djzwltpkTCs4qpGk9,https://open.spotify.com/track/3ogM7djzwltpkTCs4qpGk9
Underwater,SOLACE,RÜFÜS DU SOL,5ZvHcR4OSwvEV5IhigbTOT,https://open.spotify.com/track/5ZvHcR4OSwvEV5IhigbTOT
Casualties (feat. J Zuart),All I Need,"Cristina Soto, J Zuart",1QzPna99MhqZxXSmjVIxr4,https://open.spotify.com/track/1QzPna99MhqZxXSmjVIxr4
Behemoth IV,BAD Mood (Deluxe),The Encounter,6i5b4Jq1zp1tPVw4tt76Zy,https://open.spotify.com/track/6i5b4Jq1zp1tPVw4tt76Zy
Still Healing,Bad Habits,EDDIE,1TBYoKmgLjB9UkjNPQLMza,https://open.spotify.com/track/1TBYoKmgLjB9UkjNPQLMza
Losing You,Losing You,"Ephixa, Laura Brehm",0j7yF7CURZTm6rnJWOWIoV,https://open.spotify.com/track/0j7yF7CURZTm6rnJWOWIoV
Pleasure,Pleasure,"Dominus, Sage",742VGSXqW7Ed1d2V8cvhlk,https://open.spotify.com/track/742VGSXqW7Ed1d2V8cvhlk
Alone,Alone,Neo Fresco,5vlxhzvjTIbqK3PXw2EnZh,https://open.spotify.com/track/5vlxhzvjTIbqK3PXw2EnZh
SPACESHIP,SPACESHIP,"LSDREAM, Meredith Bull",1VdUkDxa1cOgBX0IN6wsRT,https://open.spotify.com/track/1VdUkDxa1cOgBX0IN6wsRT
Odysseus Under The Old Tree,When The Silence Is Speaking,Koan,2VD2AthBaeEDWBRhHm136i,https://open.spotify.com/track/2VD2AthBaeEDWBRhHm136i
Overthinking Rain (Hexlogic Remix),Overthinking Rain (Hexlogic Remix),"Pierce Fulton, Noosa, Hexlogic",40cmWMhT8ev6SwoRk9ulb2,https://open.spotify.com/track/40cmWMhT8ev6SwoRk9ulb2
Caerus,"We Are Friends, Vol. 7",OCULA,6r9t6M9mZus5fhLdCAAtCQ,https://open.spotify.com/track/6r9t6M9mZus5fhLdCAAtCQ
My Boy - Meduza Remix,My Boy (Meduza Remix),"R Plus, Dido, MEDUZA",6npSsIYSqN7ia7rdGme1Ic,https://open.spotify.com/track/6npSsIYSqN7ia7rdGme1Ic
My Life,My Life,"ZHU, Tame Impala",2NDZ6i6UfOUSKgFiTQKbnv,https://open.spotify.com/track/2NDZ6i6UfOUSKgFiTQKbnv
Crow - DJ-Kicks,Crow (DJ-Kicks),Forest Swords,2ZXfI11VZMuPmrJQlBRYIA,https://open.spotify.com/track/2ZXfI11VZMuPmrJQlBRYIA
Hometown,Joshua,French 79,47x1Gh7yk5mblUWxWRdtjH,https://open.spotify.com/track/47x1Gh7yk5mblUWxWRdtjH
Haytpo - Craspore Rmx,Shimmie Tapes,Пи4алька,1k9DvSD2Hq9Yh2FCXllJmr,https://open.spotify.com/track/1k9DvSD2Hq9Yh2FCXllJmr
