# not rave shit, By Drew Achtermann, https://open.spotify.com/playlist/0GxDyXFWRlQytFo0NGD5hb
title,album,artist,id,url
Voodoo in My Blood,Ritual Spirit,"Massive Attack, Young Fathers",37kiXtTUprX3HvjGvyTDb3,https://open.spotify.com/track/37kiXtTUprX3HvjGvyTDb3
Teardrop,Mezzanine,Massive Attack,67Hna13dNDkZvBpTXRIaOJ,https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ
Angel,Mezzanine,Massive Attack,7uv632EkfwYhXoqf8rhYrg,https://open.spotify.com/track/7uv632EkfwYhXoqf8rhYrg
Apple Tree - Georgia Remix,Apple Tree (Georgia Remix),"AURORA, Georgia",1yj0rsN3TVVRaNJBOq073O,https://open.spotify.com/track/1yj0rsN3TVVRaNJBOq073O
Days Go By - Dirty Vegas Remix,Days Go By (Remixes),Dirty Vegas,49JugKEfrA4k5GuAE3JyPk,https://open.spotify.com/track/49JugKEfrA4k5GuAE3JyPk
Free Animal,Free Animal,Foreign Air,5l8oNQsDDPNFUIV5M4lzRJ,https://open.spotify.com/track/5l8oNQsDDPNFUIV5M4lzRJ
Feeling Good,Feeling Good,Avicii,7rc6L3UtM0uvwfpsl07GBL,https://open.spotify.com/track/7rc6L3UtM0uvwfpsl07GBL
Experience - Starkey Remix,In a Time Lapse (The Remixes),"Ludovico Einaudi, Starkey",4gFztwUuquGQHFo5qU1gIk,https://open.spotify.com/track/4gFztwUuquGQHFo5qU1gIk
Give Into,Give Into,NUTRONIC,7rWR2e3fYmAolBRW98SCLF,https://open.spotify.com/track/7rWR2e3fYmAolBRW98SCLF
Watchtower,4 [EP],Michael McCann,2s6hbwYrgH4MxGXu0rA1uG,https://open.spotify.com/track/2s6hbwYrgH4MxGXu0rA1uG
Ocean Eyes - Blackbear Remix,Ocean Eyes (The Remixes),"Billie Eilish, blackbear",4JuZQeSRYJfLCqBgBIxxrR,https://open.spotify.com/track/4JuZQeSRYJfLCqBgBIxxrR
Physical,Physical,Dua Lipa,5px6upUHM3fhOP621Edp4V,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
Run It! (feat. Juelz Santana),Chris Brown (Expanded Edition),"Chris Brown, Juelz Santana",7xYnUQigPoIDAMPVK79NEq,https://open.spotify.com/track/7xYnUQigPoIDAMPVK79NEq
