# untitled5, By Drew Achtermann, https://open.spotify.com/playlist/0rPAIcpEZHEM2CeVSHcEqN
title,album,artist,id,url
Mega (Bonus Track),Descend,Emil Rottmayer,4GaRLUzF5K7q5DHYx7yvD8,https://open.spotify.com/track/4GaRLUzF5K7q5DHYx7yvD8
Descend,Descend,Emil Rottmayer,2fWP9NTSomnW13tweZ0zbU,https://open.spotify.com/track/2fWP9NTSomnW13tweZ0zbU
Dystopia,Magnatron 2.0,ALEX,6WDFyjkragCNgebf0xf1FF,https://open.spotify.com/track/6WDFyjkragCNgebf0xf1FF
Images of You,Stellar,FM Attack,7fiyMQbtYNCjqrcYImPL23,https://open.spotify.com/track/7fiyMQbtYNCjqrcYImPL23
Dark Sun,The B-Sides,Priest,4EiWY3BUcEQy6BYDkZh2WE,https://open.spotify.com/track/4EiWY3BUcEQy6BYDkZh2WE
So Close,Redline,Lazerhawk,6AfvRlL24hUpqsb5mmFWv1,https://open.spotify.com/track/6AfvRlL24hUpqsb5mmFWv1
Elegance & You,Corsage,Korine,0geS3eaXFfLjHxxMbCg66q,https://open.spotify.com/track/0geS3eaXFfLjHxxMbCg66q
Video Girl,Video Girl,Shadows and Mirrors,5UbhpxoUW37b28uBA4D07b,https://open.spotify.com/track/5UbhpxoUW37b28uBA4D07b
Mannequin on the Run,Mannequin on the Run EP,Datassette,40eCxw6ykNjcc0Pr6SV4Q7,https://open.spotify.com/track/40eCxw6ykNjcc0Pr6SV4Q7
Holding onto Yesterday,Holding onto Yesterday,"Stilz, The Encounter",0HkWiAOhRuGMwpyr8q1a5v,https://open.spotify.com/track/0HkWiAOhRuGMwpyr8q1a5v
On the Run,Who Knew EP,Straplocked,6iQwmScVsx7BOHsQSj8wuX,https://open.spotify.com/track/6iQwmScVsx7BOHsQSj8wuX
Sacrifice - The Encounter Remix,Sacrifice,Stilz,1VJWKUXUIQmY9JFw5cy4md,https://open.spotify.com/track/1VJWKUXUIQmY9JFw5cy4md
